Ticker,Entry_Time,Entry_Price,Exit_Time,Exit_Price,Pattern,Score,Confidence,Exit_Reason,Hold_Time_Min,PnL_Pct,PnL_Dollar
ANPA,2026-01-06 10:32:00,24.47,2026-01-07 16:05:00,23.5,Golden_Cross_Volume,7,78.0%,"Strong Reversal (3 signals, required 3+)",1773.0,-3.96%,$-0.97
ANPA,2026-01-08 12:08:00,25.52,2026-01-08 13:36:00,29.1,Volume_Breakout_Momentum,8,85.0%,"Strong Reversal (3 signals, required 3+)",88.0,14.03%,$3.58
ANPA,2026-01-08 16:47:00,29.88,2026-01-08 17:08:00,25.5,Slow_Accumulation,7,80.0%,"Strong Reversal (3 signals, required 3+)",21.0,-14.66%,$-4.38
ANPA,2026-01-09 05:37:00,29.48,2026-01-09 06:08:00,26.21,Volume_Breakout_Momentum,8,85.0%,"Strong Reversal (3 signals, required 3+)",31.0,-11.09%,$-3.27
ANPA,2026-01-09 08:30:00,50.37,2026-01-09 08:51:00,49.99,Volume_Breakout_Momentum,8,85.0%,"Strong Reversal (3 signals, required 3+)",21.0,-0.75%,$-0.38
ANPA,2026-01-09 09:22:00,52.39,2026-01-09 09:45:00,50.0,Volume_Breakout_Momentum,8,85.0%,"Strong Reversal (5 signals, required 3+)",23.0,-4.56%,$-2.39
ANPA,2026-01-09 10:09:00,53.5,2026-01-09 10:29:00,50.98,Volume_Breakout_Momentum,8,85.0%,"Strong Reversal (3 signals, required 3+)",20.0,-4.71%,$-2.52
ANPA,2026-01-09 10:56:00,52.86,2026-01-09 11:17:00,50.5,RSI_Accumulation_Entry,7,75.0%,"Strong Reversal (3 signals, required 3+)",21.0,-4.46%,$-2.36
ANPA,2026-01-09 11:26:00,54.56,2026-01-09 12:03:00,68.04,Volume_Breakout_Momentum,8,85.0%,"Strong Reversal (4 signals, required 4+)",37.0,24.71%,$13.48
ANPA,2026-01-09 12:48:00,63.23,2026-01-09 13:13:00,66.56,Golden_Cross_Volume,7,78.0%,"Strong Reversal (3 signals, required 3+)",25.0,5.27%,$3.33
ANPA,2026-01-09 13:16:00,69.0,2026-01-09 13:38:00,82.0,RSI_Accumulation_Entry,7,75.0%,"Strong Reversal (3 signals, required 3+)",22.0,18.84%,$13.00
ANPA,2026-01-09 14:15:00,95.0,2026-01-09 14:35:00,99.98,Volume_Breakout_Momentum,8,85.0%,"Strong Reversal (3 signals, required 3+)",20.0,5.24%,$4.98
ANPA,2026-01-09 15:17:00,101.97,2026-01-09 15:36:00,86.6745,Volume_Breakout_Momentum,8,85.0%,Hard Stop Loss (15%),19.0,-15.00%,$-15.30
ANPA,2026-01-09 18:32:00,79.59,2026-01-09 18:56:00,79.35,RSI_Accumulation_Entry,7,75.0%,"Strong Reversal (4 signals, required 3+)",24.0,-0.30%,$-0.24
